location_name,name,date,rating,review_text
Kebun Raya Cibodas,Alfiah Zannuba,seminggu lalu,1 bintang,"Dear pengelola Kebun Raya Cibodas.
Hari ini saya baru saja kesana, namun mengalami bad experience. Dari awal masuk di gerbang perkampungan terdapat retribusi dengan rincian tiket masuk per orang @Rp. 12.000 dan tiket kendaraan motor Rp. 3.000.
Lalu tiket masuk resmi pengelola kebun raya dengan rincian tiket domestik @Rp. 15.000 dan tiket motor weekdays Rp. 10.000.
Sebelumnya saya juga pernah ke kebun raya bogor dan purwodadi, namun tidak ada pungli disekitar tersebut. Sangat disayangkan jika pengelola kebun raya cibodas tidak dapat menertibkan pungli yang sudah terjadi disini. Terlebih pada tiket resmi sudah tertera biaya parkir kendaraan dan di area parkir juga terdapat plank bertuliskan ""PARKIR GRATIS"", namun seperti yang saya alami pada gerbang masuk perkampungan, di dalam kebun raya cibodas pun masih terjadi pungli. Kebetulan yang saya alami di area tempat parkir yang bertuliskan ""PARKIR GRATIS"". Petugas parkir memakai rompi bertuliskan ""CREW KEBUN RAYA"" namun saat saya hendak mengeluarkan motor dan keluar dari area tersebut, tukang parkir malah meminta retribusi dengan menyampaikan kalimat ""silakan kak mau keluar? Saya crew tapi nanti bisa bayar parkir seikhlasnya karena saya relawan"" cukup aneh bukan??? Padahal di tiket resmi sudah tertera tiket motor sebesar Rp. 10.000, dari kebun raya yang sudah saya datangi (kebun raya bogor & purwodadi), petugas parkir membantu pengunjung untuk merapikan kendaraan dan membantu mengeluarkan kendaraan tanpa meminta ""RETRIBUSI PARKIR"" lagi. Mungkin dari review yang saya tulis ini, bisa memberi masukan pada pengelola Kebun Raya Cibodas agar memberikan rasa tertib dan nyaman bagi para pengunjung. Terimakasih."
Kebun Raya Cibodas,Ayu Aljanah,sebulan lalu,5 bintang,"Tempatnya luas bangettt.. tapi tenang, kalau mau eksplore semua tempat tapi keberatan jika harus jalan kaki, bisa naik mobil pribadi atau wara-wiri yang disediakan (bayar lagi ya hee) hanya saja jalurnya one way.
Fasilitasnya cukup lengkap seperti musola dan WC tersebar di beberapa tempat. Banyak spot foto (bisa jadi semuanya spot foto karena indah dan keren bangettt).
Disana kita juga bisa menambah pengetahuan karena setiap tanaman ada nama dan keterangannya.
Namun hati-hati! di waktu-waktu tertentu kawanan kera turun ke sana, karena mungkin memang habitatnya juga. Asalkan kita tidak mengganggu, akan aman-aman saja.
Hati-hati juga jika ada hujan dan angin kencang jangan berteduh di pohon besar karena rawan tumbang, jangan berdiam diri di tempat yang rawan longsor juga jangan berdiam di aliran sungai dan air terjun ditakutkan debit air meningkat (biasanya ada plang peringatan).
Terakhir, aku akan menulis beberapa tempat menarik yang paling lama aku singgahi. Yaitu, padang rumput, danau, air terjun Ciismun dan rumah kaca. (Menarik atau tidaknya suatu tempat itu sesuai selera masing-masing ya hee).
Sekian dan terima kasih ^_^"
Kebun Raya Cibodas,Nur Hanif,seminggu lalu,4 bintang,Wisata yg cukup bgs apalgi bagi keluarga atau hanya untuk sekedar piknik dan santai. Fasilitas lumayan lengkap. Namun untuk harga tiket masuk lumayan mahal bila weekend karena motor harus parkir didepan dan cukup jauh(61rb 2 orang dan motor). Sementara naik mobil warawiri 30rb perorang. Adapun penumpang mobil warawiri di weekend sangat ramai mana tempat pemberhentian warawiri sembarangan alhasil musti menunggu untuk naik warawiri yg masih kosong untuk balik ke parkiran motor. Saran dari saya ada pemberhentian khusus mobil warawiri agar tidak berebut atau antri dan mobil warawiri jika weekend di perbanyak jgn hanya 5 karna menungguny cukup lama
Kebun Raya Cibodas,Mata Dewa,sebulan lalu,5 bintang,"> Lahan luas, udara segar sejuk dingin.
> Motor bisa parkir didalam biar gak terlalu cape.
> Ada air terjun setelah menelusuri jalan sampai ke bawah.
> Bawa makanan dari rumah makan bersama disini nikmat.
> Disediakan tempat sampah supaya tidak buang sembarangan.
> Tersedia mushola.
> Tersedia Toilet."
Kebun Raya Cibodas,Yunita,sebulan lalu,4 bintang,"Udaranya sejuk, asri. Mobil bisa keliling masuk Biaya tiket 40.000 untuk mobil, per orang weekend 25.500
Sebelum masuk ke kebun raya ada biaya retribusi 12.500/orang dan 4.000 untuk mobil
Untuk tempat makan terbatas entah karena di bulan puasa atau memang banyak tempat yang sudah tutup. Sebaiknya sedia makanan dan minuman yang cukup, jika ingin piknik banyak ibu-ibu warga lokal yang menawarkan sewa atau beli tikar"
Kebun Raya Cibodas,Frisca Sukma,4 minggu lalu,5 bintang,"Bagus ada danau nya, tapiii banyak punglii gtu sih. Awal masuk gtw dr pintu mana dimintain 5rb buat motor, trs pas dipintu cibodas nya di mintain lagi🤨 dan klo bw kendaraan ribettt bayar parkir mulu🙂‍↕️mending jalan kaki tp agak jauh yaa

Yg gabawa tikerrr tenang disana ada nenek nenek yg sewain tiker guyss🥲

Fyi kesana nya udh lama ya feb2023"
Kebun Raya Cibodas,Tri Husna,seminggu lalu,1 bintang,"Juni tahun lalu (2023) saya ke sini sangat senang, sengaja saat weekday, tidak terlalu ramai dan mobil bisa masuk KEMANAPUN jadi bisa piknik dimana saja termasuk taman sakura.
Nah kemarin saya ke sini lagi sengaja pas weekday biar bisa menikmati maksimal, ternyata mobil tidak bebas kemana2, tidak bisa parkir di taman sakura. Padahal saya fisiknya agak lemah juga membawa anak2 kecil, jadi harus turun tangga curam  ke bawah sambil gandeng anak dan bawa bawaan banyak, mana anak2 tangganya curam gak horizontal dia anak tangganya tp miring2. Buat apa wahai pengelola gw bayar tiket mobil 40rb.
Ke Cibodas tuh jalannya udah 3jam perjalanan mana sering macet2an, sampe2 malah kecewa kayak gitu. Maaf2 aja jadi sungkan ke sini lg lbh baik ke tempat lain spt tangkuban parahu.
Mana toiletnya jelek pake bgt, bau, airnya kecil, gelap gak ada lampunya bilik toiletnya. Terus tempat berteduh amat minim kalaupun ada kadang mesti naik2 tangga.
Kalau boleh parkir di taman sakura/mobil bisa free kemana2 di weekday, boleh lah kesini lagi. Kalau nggak bisa ya males lah."
Kebun Raya Cibodas,Muhammad Ihsan,3 minggu lalu,1 bintang,"Entah lah bayar masuk nya 2x di depan gapura kena biaya retribusi 12rb / 0rang mobil 5000 masuk ke kebun raya nya bayar lagi mobil 40rb dan 15.500/ orang .
Datang ber 7  biaya masuk nya jadi bengkak 😁😁 aga menyesal juga masuk ke sini.
Kami pikir tempat wisata murah layak nya kebun binatang ragunan atau kebun raya bogor.
Yg saya bingung pemda cianjur apa perlu dana retribusi lagi buat jaga kebersihan tempat wisata nya ya?"
Kebun Raya Cibodas,Lryae Izu,sebulan lalu,5 bintang,"Kurang tempat duduk sama tempat sampah :(.. waktu kesana susah cari tempat sampah terdekat.. trus agak risih jg sih tiap dtengin tempat ada kang parkir pdhal tertulis parkir gratis, mau g ngasih g enak :).. jdi gak bebas mau kemana². Oh papan tandanya juga keknya rada salah deh krna g sesuai, aku udh ikutin sesuai tanda tapi mlh nyasar k tempat yang gak bisa lewat... Tapi selebihnya bgus, tempatnya juga bersih, mau kesana lagii😁, blum smpet k Sakura krna kmrin pas ksna bnyakk rombongan.

Note : ku saranin klau kesanaa pas musim ujan siapin payung, biar ttp bisa nikmatin. Atau ya pas musim panas aja ke sana nya klu gak mau ribet becek."
Kebun Raya Cibodas,Yuni Rizki Damayanti,2 hari lalu,5 bintang,"Taman luas, suasana asri, tetapi track ke Curug Cismin sangat curam. Butuh ekstra tenaga untuk ke Curug Cismin. Tetapi taman sakuranya sangat cantik karna ada sungai kecil yg airnya jernih. Ada rumah kaca dengan berbagai tanaman didalamnya. Rekomended untuk ajak keluarga dan anak-anak bermain di taman. Jangan lupa membawa Snack dan perlengkapan piknik. Bagi yg tidak membawa tikar banyak penyewa tikar yg ada di sekitar lokasi kolam besar. Enjoy!"
