location_name,name,date,rating,review_text
Candi Borobudur,Roria Niswati,6 hari lalu,4 bintang,"Awal sampai, ditunjukin pintu masuk oleh maps malah pintunya ditutup. Pintu yang sekarang dibuka malah tidak dicantumkan di maps.

Kalo mau parkir di rumah warga. Biayanya 5k.

Perdana dateng ke candi ini.
Biaya tiket masuk 50k per orang cuma sampai di terasnya candi aja. Bisa beli langsung di lokasi.
Untuk anak 2 tahun free entry.
Harga tiket kalo mau naik ke candinya, beda lagi.

Ada penyewaan stroller 50k sepuasnya (bisa nego jadi 25k). Mayan juga, jadi gk capek nuntun batita. Karena jarak dari pintu masuk kedalam 2 km.
Sewa payung 10k (kang sewa payungnya agak maksa).
Disediakan jalur khusus untuk yang bawa stroler atau kursi roda.

Yang menjengkelkan, ketika keluar dari area candi. Ternyata wisatawan diarahkan melewati labirin yang isinya kang souvenir. Jalannya muter-muter dan lumayan jauh. Waktu itu sudah kondisinya hujan gerimis, jelang maghrib, gelap.

Kang dagangnya pada maksa dan memohon untuk dibeli. Sampai capek nolaknya."
Candi Borobudur,Royan sapta,seminggu lalu,5 bintang,"Seiring bertambahnya usia tidak mengurangai keindahan salah satu candi budha terbesar yang terletak di magelang. Saya pertama kali berkunjung pada tahun 2011 dan tepatnya pada 25 April ini kesempatan kedua untuk berkunjung kembali.

Dari jogja kurang lebih menempuh jarak 1 jam perjalanan. Sampai lokasi pukul 09.40 untuk yang membawa kendaraan R2 disediakan pakir di area luar candi IDR5000.
Kita bisa beli tiket via online IDR120.000 untuk naik ke puncak candi. dan IDR50.000 tiket untuk di pelataran saja.

Sampai di tempat jam 9.40 ternyata sudah ketinggalan rombongan tour jam 9.30, harus nunggu rombongan berikutnya di 10.30.
Barcode tiket ditukar dengan tiket gelang di loket.  Kemudian dikasih kartu nomor tour guide.

Setelah itu kita di arahkan ke penukaran tiket  untuk pengambilan upanat (sandal khusus untuk naik candi, bisa dibawa pulang sandalnya) + dapat air mineral dan juga dapat sejenis tas selempang. Lalu menunggu lagi di ruang tunggu.

Setelah itu kita diarahkan untuk mengikuti rombongan sesuai dengan nomor tour guide. Tour guide mengarahkan rombongan dari pelataran sampai naik ke puncak candi, penjelasan tour guide cukup jelas (cerita/sejarah keunikan candi borobudur). kita juga diberi kesempatan untuk beristirahat dan berfoto-foto di area candi.

Waktu tour di area candi 1 jam dan harus segera turun ke bawah. karna harus bergantian dengan rombongan tour yang lainnya, untuk kelestarian candi agar tetap terjaga. Sampai di bawah bebas dari tour guide (kalo sanggup sampe sore keliling area pelataran candi, ya silahkan.. wkwk..)

Untuk keluar dari area candi selain jalan kaki, bisa juga naik delman seharga IDR100.000 atau naik golf car tayo seharga IDR20.000 per orang."
Candi Borobudur,Rizal Doank,6 hari lalu,5 bintang,"Wisata edukasi yang sangat bagus, sejarah masa lampau indonesia tentang penyebaran budha di indonesia, candi atau tempat ibadah agama budha sekaligus menjadi tempat wisata di indonesia, begitu megah dan luar biasa. Kawasan yang sangat luas, tempatnya sudah sangat tertata, tinggal penyempurnaan diberbagai sisi, ada museumnya yang menceritakan tentang borobudur secara luas dan detail, serta bangunan tempat beberapa sisa batu candi yang belum terpasang dikarenakan belum dapat posisi pasangnya...kalo berwisata ke candi borobudur, tanpa ke museumnya, sangat disayangkan...wisata tapi tidak dapat edukasinya. Melihat tanpa tau sejarahnya sangat disayangkan. Kemudian ketika keluar daei kawasan, pintu keluarnya diarahkan ke kawasan pedagang binaan yang menjual segala pernak pernih kerajinan tangan khas asli orang2 sekitar, unik dan murah2, penataan yang sangat bagus, untuk memperkenalkan hasil kerajinan tangan asli kawasan tersebut. Tempat wisata edukasi yang sangat bagus. Rekomen pokoknya, kalonke yogyakarta, wajib ke candi borobudur ya 👍"
Candi Borobudur,Tutix Krismawantii,seminggu lalu,4 bintang,"Tiket masuk di pelataran dan naik di Candi berbeda.. Dewasa 75 balita 35, kalau ingin naik candi 2x lipat dari harga tersebut.
Untuk tarif delman 100rb bisa dinaiki 5-6 orang keliling taman candi, ada jasa foto menurut saya agak mahal ya tarif perfoto 15.000 kirim soft file, lebih murah di pantai hanya 5rb/pict. Tapi hasil foto di Candi bagus tidak mengecewakan. Ada kereta juga tarif kurang tau.
Harga di pasar Candi murah-murah, lebih baik belanja di bagian dalam karna harga lebih miring. Pintar-pintar menawar.
Saran saya sebagai orang asli Magelang, jangan perlihatkan kalau kalian orang kota karena bisa saja harga yang diberikan dari penjual tidak wajar. Itu saja review healing ke Candi Borobudur.. Recomended!!"
Candi Borobudur,Rayhan Anantya,4 minggu lalu,5 bintang,"Bertambahnya usia tidak mengurangi keindahan Borobudur sebagai objek wisata favorit saya di Magelang. Manajemen wisata semakin baik dari terakhir kali saya datang ke sini. Saya sendiri datang ke Borobudur 3 hari sebelum lebaran 2024. Harga tiket untuk naik sampai puncak Rp120.000,00 sudah ditemani oleh pemandu. Pengunjung wajib memakai sandal khusus yang bisa diambil di pintu masuk dan juga diberikan 1 botol air mineral tiap orangnya. Kegiatan pengunjung dibatasi selama 1 jam untuk berkeliling di sekitar candi. Semoga situs warisan bersejarah ini tetap lestari, sehingga dapat terus dinikmati keindahannya dan dipelajari sejarahnya oleh generasi selanjutnya."
Candi Borobudur,Yulia Dwi Handayani,3 minggu lalu,4 bintang,"Beli tiket via online untuk naik candi (Ada juga tiket untuk di pelataran saja)
Pilih jam 8.30. Sampai di tempat jam 8.40 ternyata sudah ketinggalan rombongan tour jam 8.30, harus nunggu rombongan berikutnya.
Barcode tiket online ditukar dengan tiket gelang di loket. Baru bisa masuk ke dalam. Kemudian dikasih kartu nomor tour guide.

Di dalam ambil upanat (sandal khusus untuk naik candi, bisa dibawa pulang sandalnya) + dapat air mineral. Lalu tunggu lagi di ruang tunggu.

Setelah itu akan dipanggil rombongan sesuai nomor tour guide. Kemudian tour guide akan memimpin dari pelataran sampai naik candi. Di dalam hanya bisa naik sampai tingkatan 9. Penjelasan tour guide cukup jelas, dan selalu diberikan waktu untuk foto dan istirahat sebentar.

Selesai tour sekitar satu jam harus turun ke bawah. Karena pengunjung ke atas candi harus dibatasi demi kelestarian candi. Di bawah acara bebas tanpa tour guide.

Untuk keluar ke parkiran, selain jalan, bisa naik delman seharga IDR100.000 per delman atau naik golf car tayo seharga IDR20.000 per orang.

Dari awal kunjungan sebenarnya sudah bagus, karena sekarang jauh lebih teratur dibandingkan sebelumnya. Jadi tidak terlalu ramai di area candi.

Hanya saja perjalanan dari pintu keluar menuju parkiran sedikit mengganggu karena banyak sekali pedagang yang menawarkan dagangannya, bahkan sampai diikutin terus di belakang. Memang sih jualan, tapi sebaiknya tidak perlu sampai ngikutin orang jalan terus, jalan cepat-cepatpun masih diikutin terus, malah jadi merasa terganggu lama-lama."
Candi Borobudur,TheSkeletonBoy,sebulan lalu,5 bintang,"Jauh lbh bagus dr jaman dl wkt msh free, terawat sih.. utk yg dtg better daftar dl online ya karena ad jam nya utk naik ke atas itu. Kecuali cuma di pelataran si biasa aj beli di tempat. Nti ad pemandu nya dan pergroup naik nya. Info aja belanja ny selesai turun dr candi aja banyak pilihan dan lebih murah dari pada yg di depan yg jalan nawarin . Karena turun jg muter lewatin para pedagang suvenir sepanjang jalan banyak dan jauh hehe.. thank you candi semoga ke dpn ttp baik dan terawat 🙏🏻🙏🏻❤️

Dewasa 150.000
Anak anak 90.000 (usia 11 sdh masuk dewasa)

Hanya pelataran 50.000"
Candi Borobudur,Fabianus Wiradi,2 minggu lalu,5 bintang,"Candi Budha terbesar di Dunia

Lokasi 8/10
Berada di daerah Magelang yang tentram, akses menuju ke lokasi sangat mudah dengan pilihan transportasi yang beragam. Dari bandara internasional terdekat (Bandara YIA), hanya berjarak sekitar 60 km. Akomodasi mulai dari penginapan, makanan, hingga rental kendaraan mudah ditemukan di sekitar lokasi.

Suasana 9/10
Saya datang di akhir pekan yang ramai. Berjalan dari areal parkir menuju loket masuk saya merasa seperti di pasar, begitu banyak pedagang. Tapi setelah melewati pintu masuk ke candi suasana berubah menjadi lebih tenang. Kompleks candi terlihat luas, rindang, sejuk, bersih dan terawat.

Baru sampai di pelataran candinya saja saya sudah terkagum-kagum akan kemegahan dan betapa terawatnya candi ini, apalagi jika saya naik ke atas candinya. Saya belum berkesempatan naik ke candi karena ternyata pengunjung yang boleh naik ke candi dibatasi per hari hanya 1200 orang. Untuk naik ke candi pengunjung harus berpakaian yang sopan. Saya rasa ini ide yang bagus untuk menjaga kelestarian candi yang sudah tua ini.

Fasilitas Layanan 8/10
Fasilitas di dalam kompleks candi cukup memadai. Ada transportasi ramah lingkungan yang siap mengantar anda sampai ke pelataran candi seperti mobil listrik, kereta kuda dan sepeda dengan tarif terjangkau. Ada penyewaan stroller anak dan payung. Jalur kursi roda ada di mana mana. Toiletnya bersih, banyak dan mudah ditemukan. Tempat sampah dan papan penunjuk arah tersebar di setiap sudut. Saya tidak menemukan fasilitas umum yang rusak.

Ada dua museum yang bisa dikunjungi, pasar souvenir, masjid, restoran, money changer, pusat informasi, vending machine minuman. Terdapat stasiun pengisian kendaraan listrik di areal parkir. Untuk pengalaman yang lebih dalam anda bisa menginap di Manohara Hotel yang berada di dalam kompleks candi.

Keramahan 8/10
Selain dari pedagang di pasar souvenir yang sedikit memaksa, semua orang yang saya temui di sini sangat ramah. Bahkan saya menemui petugas kebersihan yang mau menjelaskan sedikit sejarah tentang Candi Borobudur serta tips untuk mendapatkan pengalaman lebih baik di sini tanpa meminta bayaran. Di museum Samudraraksa kami mendapatkan private tour dengan harga terjangkau.

Harga 7/10
Kompleks candi ini dikelola secara profesional, tiket masuk dibedakan antara pengunjung lokal dengan mancanegara. Tipe tiket ada dua, tiket untuk masuk sebatas pelataran candi dan tiket untuk naik ke atas candi yang lebih mahal dan terbatas.

Anda bisa memesan tiket masuk melalui situs resmi Candi Borobudur ataupun di aplikasi tiketing online. Pembayaran di tempat selain membayar tunai bisa menggunakan kartu kredit, debit, maupun pembayaran online. Harga tiket untuk naik ke candi sudah termasuk pemandu wisata, sandal khusus bernama upanat, dan gelang. Harganya menurut saya sangat sepadan dengan pengalaman yang didapat."
Candi Borobudur,Sekedar berbagi,5 hari lalu,5 bintang,"Warisan budaya yang harus di lestarikan.
Yang bawa balita saya sarankan sewa stroler.
Muternya jauuuuh.
Tiket masuk sebatas ke pelataran dewasa 50.000 anak anak 35.000 kalo mau naik ke candi harus bayar lagi.."
Candi Borobudur,Hadi,sebulan lalu,5 bintang,"Salah satu tempat wajib dikunjungi ketika berada di Yogyakarta.. Perjalanan memerlukan waktu sekitar 1-1, 5 jam..

Parkiran luas, begitu turun dari mobil banyak yang menawarkan souvenir, mainan anak , topi, payung , bahkan stroller bayi jadi apabila ada yang perlu bisa rent di sana

Untuk pembelian ticket bisa menggunakan via app (trav****) supaya lebih mudah. Kami datang di pagi hari sekitar jam 10.00.Suasana cukup banyak pengunjung baik lokal maupun asing. Tersedia tiket untuk sampai naik ke atas stupa, atau cuma sampai di pelatarannya.

Harga tiket dewasa 150k, anak 90k

Nanti akan disediakan tour guide untuk memberikan informasi tentang history Candi Borobudur"
Candi Borobudur,yuri kartika,3 minggu lalu,5 bintang,"Sebenarnya sudah sering kali ke sini 😊, harga ticket anak2 25rb (10thn kebawah) org dewasa 50rb, ini harga ticket hanya sampe pelataran borobudur, kl mau naik lagi hrgnya 150rb/org. Jd kl buat mengagumi dan foto2 dipelataran saja, dl jaman masih bocah bisa sampai atas sekalian belajar sejarah dr relief2 nya, kurang paham kebijakan sekarang, mungkin ilmu mmg mahal kl yaaa😁😁"
Candi Borobudur,mariana istoro,3 hari lalu,5 bintang,"sangat indah, terpelihara dengan baik, untuk anak sekolah bisa mengajukan gratis dengan paket 30 anak, diajukan ke Balai Konservasi Borobudur dibawah kementerian pendidikan yang ada di sebelah selatan candi borobudur"
Candi Borobudur,Wied Taslim,2 bulan lalu,5 bintang,"Ke Candi Borobudur untuk ke 2 kalinya dan selalu mengesankan. Kali ini untuk naik ke atas Candi dikenakan tiket 120k pesan online sudah termasuk guide dan dapet sendal khusus, klo cuma di pelataran Candi dikenakan tiket 50k saja. Parkir mobil 15k klo pas lg penuh nanti ada yg mencarikan tempat parkir kosong dg biaya seikhlasnya. Di Candi Borobudur cuacanya bisa berubah sewaktu-waktu, bisa panas terik, bisa tiba2 mending dan hujan, maka perlu disiapkan topi dan payung. Kalau pengunjung lupa bawa payung atau topi bisa beli di sekitar Candi atau sewa.... Saya suka 😁👍"
Candi Borobudur,Rome,sebulan lalu,5 bintang,"Viewnya cakep 🥰😍
Kesini pas weekday tapi tetap aja rame
Milih tiket yang bisa naik ke candi itu Rp 120.000 per orang trus dapet sendal khusus buat naik ke candi dan bisa di bawa pulang. Naik ke candi didampingi sama guide trus di jelasi banyak tentang borobudur . Tiket bisa beli online atau langsung juga .Keren pokoknya ❤❤❤❤❤"
Candi Borobudur,Try Akbar,3 bulan lalu,5 bintang,"Keindahan pemandangan borobudur memang luar biasa. Sebelum masuk kamu bisa menyewa payung biar tidak kepanasan. Untuk yang bawa bayi atau balita disini juga disediakan penyewaan stroler.
Nah untuk bisa sampai ke atas candi sebaiknya beli tiket masuk 7 hari sebelumnya karena pengunjung hanya dibatasi 1200 an orang perharinya. Lebih dari itu kamu hanya diijinkan mengakses pelatarannya saja. Namun itupun sudah oke kok. Ada banyak tempat duduk untuk beristirahat kalau kamu capek jalan."
Candi Borobudur,eko rudianto,sebulan lalu,5 bintang,"Situs peradaban dunia yang modern, terkhir kesini sudah tidak bisa lagi naik ke atas bahkan banyak penjaga yang bertugas, kita hormati bersama demi kelestarian budaya kita, kelestarian cagar alam sekaligus salahsatu keajaiban dunia menurut UNESCO ini."
Candi Borobudur,Ghifanni,sebulan lalu,5 bintang,"bisa naik ke candi. untuk pembelian tiket tidak bisa jauh² hari hanya dibuka di sistem 7 hari saja (hanya selasa-jum'at. dengan per-sesi, untuk kunjungan dibatasi 150 orang per-sesi jadi tidak terlalu ramai untuk menjaga candi dan harga tiket naik juga sudah dikasih air mineral dan sandal upanat.

kalau bawa rombongan prefer untuk mending pake travel agent lokal :v"
Candi Borobudur,Indah Nilam,5 hari lalu,5 bintang,"Sekarang mau masuk ada dua harga yaa guyss
Kesini tanggal 28 April 2024
1. 48rb : ini cuma bisa di plataran nya aja nggak bisa naik ke atas candi nya
2. 120rb : ini bisa naik ke atas candi, cuma yg paling atas sekarang gak boleh naik.
- plus nyaa ada guide yang ceritain sejarah candi borobudur dan bisa tanyaa tanya jugaa.
- dapet gelang buat scan barcode buat akses naik ke atas
- dapet sendal anyaman (yang pakai sepatu mesti ganti sendal ini) biar candinya nggak rusak.
- dapet air mineral juga
- anak dibawah 3 tahun freeee yaa geeeesss😍

Untuk balik yang gamau cape bisa naik wara-wiri dia ada sampai jam 5 sore harga nya 50rb per orang kalau anak bisa di pangku

Semoga makin bagus yaa wisata candi borobudur. Dan buat para wisatawan tetep patuhi aturan yang berlaku yaaa❤️"
Candi Borobudur,Annisa Dhaniar,3 bulan lalu,5 bintang,"tidak diragukan lagi sebagai situs pariwisata kelas internasional, sayangnya fasilitas dan penataan nya belum maksimal.
signage pintu masuk kurang jelas, sehingga perlu tanya petugas berkali kali dari tempat parkir. kebersihan perlu ditingkatkan.

wisatawan membawa anak, sebaiknya membawa stroller karena jalan nya jauh dan naik kesana kemari. disarankan jangan pakai sepatu hak tinggi, gunakan sepatu nyaman untuk traveling karena jalurnya panjang dan berbatu.

tahun 2024 tiket masuk wisatawan domestik 50 ribu perorang. anak dibawah 2 tahun masih gratis. ada bis shuttle bayar 20 ribu per orang sekali jalan. Untuk naik ke atas candi harus bayar lagi 125 ribu perorang, katanya dapat sendal, tas dan beberapa perlengkapan lainnya.

setelah naik ke candi, wisatawan masih dihadapkan dengan rintangan jalan ke pintu keluar, sebaiknya gunakan kesempatan menggunakan shuttle pada saat menuju pintu keluar (karena jalan nya jauh). setelah jalan jauh masih diarahkan mampir ke museum borobudur dan harus muter muter pasar sebelum pintu keluar. butuh kesabaran untuk jalan jalan di borobudur ya."
Candi Borobudur,Merry Leli,sebulan lalu,5 bintang,"Cakep. Ada museum, gamelan, candi dan nyaman ada juga tempat air isi ulang. Untuk naik ke atas candi d perlukan reservasi terlebih dahulu karena setiap sesi hanya diperbolehkan 150 orang."
Candi Borobudur,erica dewi,3 bulan lalu,5 bintang,"Kembali lagi kesini setelah lebih dari 10 tahun lalu terakhir kesini. Sekarang Borobudur lebih rapi dan lebih teratur. Dijual 2 jenis tiket, hanya untuk di pelataran saja 50ribu rupiah dan untuk naik sekalian ke candi 120ribu (dapat tour guida, sandal dan botol minum Aqua kecil). Tour nya 1 jam dan per hari nya dibatasi"
Candi Borobudur,Surya Wijaya,sebulan lalu,4 bintang,"Tanjakan sangat terjal. Sepertinya orang jaman dulu pasti sangat fit. Saya baru berapa lantai sudah ngos ngosan. Oh ya jangan lupa pakai baju lengan panjang dan topi, terutama kalau pas siang."
Candi Borobudur,Otto DHM Sitompul,4 bulan lalu,5 bintang,"Nganterin bocah liat candi gede, biar kalo mereka ditanya orang bilangnya udah pernah ke borobudur 😅

Siapkan payung, topi, pake sunblock, kecuali kalo lagi mendung. Kalau mau praktis, sewa aja di lokasi. Stroller pun ada yang nyewain.

Saat mau keluar candi kembali ke parkiran, rutenya terlalu jauh memutar, padahal pemandangannya ga ada yang enak dilihat 😅 Dulu kayanya ga kaya gini.

Dan finalnya adalah disuruh muter-muter labirin tak berujung penuh dengan tukang jualan.

Tiket Dewasa 50rb
Tiket anak 3-10 tahun 25rb
Anak dibawah 3th FREE

Afterall, cukup lah untuk memberikan pengalaman ke bocah-bocah saat liburan."
